depth,control_type,name,automation_id,class_name,framework_id,handle,left,top,right,bottom
3,MenuItem,Export Project...,,,,,0,0,0,0
3,Separator,,,,,,0,0,0,0
3,MenuItem,Print...,,,,,0,0,0,0
3,MenuItem,E-Mail Project To...,,,,,0,0,0,0
3,MenuItem,Exit,,,,,0,0,0,0
2,MenuItem,Configuration,,,,,4105,176,4195,196
3,MenuItem,String...,,,,,0,0,0,0
3,MenuItem,BHA...,,,,,0,0,0,0
3,Separator,,,,,,0,0,0,0
3,MenuItem,Well Geometry...,,,,,0,0,0,0
3,Separator,,,,,,0,0,0,0
3,MenuItem,Fluids...,,,,,0,0,0,0
3,Separator,,,,,,0,0,0,0
3,MenuItem,Weak Point...,,,,,0,0,0,0
3,MenuItem,Torque Inputs...,,,,,0,0,0,0
2,MenuItem,Options,,,,,4195,176,4256,196
3,MenuItem,Units...,,,,,0,0,0,0
3,MenuItem,Project Calculation Options...,,,,,0,0,0,0
2,MenuItem,Tools,,,,,4256,176,4304,196
3,MenuItem,Sensitivity Analysis...,,,,,0,0,0,0
3,MenuItem,Report Generator...,,,,,0,0,0,0
3,MenuItem,Tool Fit Analysis...,,,,,0,0,0,0
3,MenuItem,Extended Reach...,,,,,0,0,0,0
3,MenuItem,Friction Coefficient Analysis...,,,,,0,0,0,0
3,MenuItem,Free Fall Analysis...,,,,,0,0,0,0
3,Separator,,,,,,0,0,0,0
3,MenuItem,Stuck Point Analysis...,,,,,0,0,0,0
2,MenuItem,Help,,,,,4304,176,4349,196
3,MenuItem,Help on Orpheus,,,,,0,0,0,0
3,MenuItem,Orpheus Wizard,,,,,0,0,0,0
3,MenuItem,About Orpheus...,,,,,0,0,0,0
1,Pane,Bottom :,BottomPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68158,4059,870,4813,872
1,Pane,Bottom :,LeftPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68160,4057,174,4059,872
1,Pane,Bottom :,RightPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68162,4813,174,4815,872
1,Pane,Bottom :,TopPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68164,4057,148,4815,174
2,Text,Orpheus - <Abbey A-02 (local)>     ,lblFormTitle,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,68166,4082,149,4766,175
